system,numnodes,allocation_mode,allocation_split,partition_split,partition_layout,ppn,out_format,extra,path
leonardo,64,p,100-100,50:50,i,1,csv,All-to-All,./data/leonardo/64_a2a
leonardo,64,p,100-100,50:50,i,1,csv,All-to-All Congested,./data/leonardo/64_a2a_congested
leonardo,8,p,100-100,50:50,i,1,csv,All-to-All,./data/leonardo/8_a2a
leonardo,8,p,100-100,50:50,i,1,csv,All-to-All Congested,./data/leonardo/8_a2a_congested
leonardo,8,p,100-100,50:50,i,1,csv,All-Gather,./data/leonardo/8_agtr
leonardo,8,p,100-100,50:50,i,1,csv,All-Gather Congested,./data/leonardo/8_agtr_congested
cresco8,8,p,100-100,50:50,i,1,csv,All-to-All,./data/cresco8/2025-12-11_23-12-39-864709
cresco8,8,p,100-100,50:50,i,1,csv,All-to-All A2A-Congested,./data/cresco8/2025-12-11_23-12-40-519671
cresco8,8,p,100-100,50:50,i,1,csv,All-to-All Inc-Congested,./data/cresco8/2025-12-11_23-12-41-167519

