run_id,msg_size,4_Avg-Duration_s,4_Min-Duration_s,4_Max-Duration_s,4_Median-Duration_s,4_MainRank-Duration_s
1,32768,0.000104801,0.000100636,0.000110988,0.000104655,0.000102088
1,32768,0.000104277,0.000100231,0.000107716,0.000104044,0.000103868
1,32768,0.000105636,9.8298e-05,0.000111912,0.000106183,0.000108105
1,32768,0.000104273,9.7404e-05,0.000109962,0.0001039,0.000106884
1,32768,0.000104396,0.000100066,0.000107332,0.000104672,0.000105053
1,32768,0.00129283,0.000312536,0.002754242,0.000831977,0.001179961
1,32768,0.000354936,0.000315934,0.000399261,0.000355832,0.000325536
1,32768,0.000319282,0.000312238,0.000326277,0.000320096,0.000320237
1,32768,0.000321362,0.000309441,0.000334559,0.000321098,0.000320971
1,32768,0.000351757,0.000350295,0.000352891,0.000351675,0.000351649
1,32768,7.8384e-05,7.1771e-05,8.4516e-05,7.8379e-05,7.8424e-05
1,32768,7.8249e-05,7.4132e-05,8.3582e-05,7.8197e-05,7.6459e-05
1,32768,7.6921e-05,7.2279e-05,8.254e-05,7.6921e-05,7.4329e-05
1,32768,7.8011e-05,7.3616e-05,8.1225e-05,7.8147e-05,7.3616e-05
1,32768,7.7749e-05,7.2703e-05,8.329e-05,7.7847e-05,8.2009e-05
1,32768,7.7617e-05,7.2829e-05,8.1545e-05,7.718e-05,7.2829e-05
1,32768,7.846e-05,7.3672e-05,8.3729e-05,7.826e-05,7.8647e-05
1,32768,7.5716e-05,7.1614e-05,7.9616e-05,7.6036e-05,7.6005e-05
1,32768,7.9778e-05,7.4815e-05,8.4889e-05,7.9936e-05,8.2951e-05
1,32768,7.8108e-05,7.2335e-05,8.6615e-05,7.7821e-05,7.7066e-05
1,32768,7.8784e-05,7.3241e-05,8.7666e-05,7.7671e-05,7.7216e-05
1,32768,7.6453e-05,7.3472e-05,7.9606e-05,7.6315e-05,7.7549e-05
1,32768,7.6725e-05,7.2938e-05,8.462e-05,7.6606e-05,7.3483e-05
1,32768,7.7376e-05,7.2387e-05,8.3375e-05,7.7355e-05,7.2978e-05
1,32768,7.7993e-05,7.3065e-05,8.3177e-05,7.7682e-05,7.761e-05
1,32768,9.6075e-05,9.2085e-05,0.000102038,9.5121e-05,9.9106e-05
1,32768,7.6791e-05,7.1239e-05,8.0444e-05,7.7229e-05,7.4784e-05
1,32768,7.7485e-05,7.3977e-05,8.0148e-05,7.7746e-05,7.9207e-05
1,32768,7.7489e-05,7.2353e-05,8.3071e-05,7.7008e-05,7.2816e-05
1,32768,7.6591e-05,7.0866e-05,8.0083e-05,7.6738e-05,7.7985e-05
1,32768,7.615e-05,7.104e-05,8.3609e-05,7.5439e-05,7.3661e-05
1,32768,7.7496e-05,7.3147e-05,8.2909e-05,7.7492e-05,7.3767e-05
1,32768,7.971e-05,7.1504e-05,8.4713e-05,7.968e-05,7.761e-05
1,32768,7.7354e-05,7.2893e-05,8.1513e-05,7.7334e-05,7.6341e-05
1,32768,7.6158e-05,7.1846e-05,7.8807e-05,7.6211e-05,7.3455e-05
1,32768,7.5889e-05,7.2156e-05,8.0064e-05,7.4969e-05,7.9216e-05
1,32768,7.6778e-05,7.3724e-05,7.9925e-05,7.6993e-05,7.4661e-05
1,32768,7.7226e-05,7.2108e-05,8.1466e-05,7.7655e-05,7.5189e-05
1,32768,7.7964e-05,7.3923e-05,8.5694e-05,7.7275e-05,8.3222e-05
1,32768,7.7578e-05,7.2552e-05,8.1589e-05,7.7974e-05,7.6131e-05
1,32768,8.4807e-05,7.8162e-05,9.2721e-05,8.4669e-05,8.9063e-05
1,32768,7.6466e-05,7.1949e-05,8.1255e-05,7.6103e-05,7.1949e-05
1,32768,7.7136e-05,7.2209e-05,8.676e-05,7.5824e-05,8.6714e-05
1,32768,7.578e-05,7.203e-05,7.9074e-05,7.6146e-05,7.5096e-05
1,32768,7.7124e-05,7.2784e-05,7.9876e-05,7.7612e-05,7.9762e-05
1,32768,7.7507e-05,7.1023e-05,8.1067e-05,7.7819e-05,7.2395e-05
1,32768,7.5939e-05,7.167e-05,8.1879e-05,7.5808e-05,8.1879e-05
1,32768,7.8132e-05,7.3377e-05,8.5709e-05,7.7885e-05,7.3419e-05
1,32768,7.6386e-05,7.2261e-05,8.5272e-05,7.5735e-05,8.5272e-05
1,32768,7.6167e-05,7.2432e-05,7.9745e-05,7.6303e-05,7.9114e-05
1,32768,7.679e-05,7.283e-05,8.3752e-05,7.6236e-05,8.3752e-05
1,32768,7.6734e-05,6.9632e-05,8.0902e-05,7.6767e-05,7.7153e-05
1,32768,7.6957e-05,7.3452e-05,8.1073e-05,7.6795e-05,7.9524e-05
1,32768,7.7724e-05,7.1622e-05,8.2971e-05,7.7816e-05,7.1622e-05
1,32768,7.5614e-05,7.0259e-05,7.9727e-05,7.5658e-05,7.5596e-05
1,32768,9.571e-05,8.9472e-05,0.000102987,9.5511e-05,9.5958e-05
1,32768,7.7613e-05,7.1658e-05,8.0453e-05,7.8119e-05,7.8702e-05
1,32768,7.6813e-05,7.284e-05,8.3169e-05,7.6578e-05,7.3025e-05
1,32768,7.5999e-05,7.0528e-05,8.3441e-05,7.54e-05,7.4804e-05
1,32768,7.6576e-05,7.1456e-05,8.2167e-05,7.6309e-05,7.1456e-05
1,32768,7.7281e-05,7.2705e-05,8.3256e-05,7.7061e-05,7.959e-05
1,32768,7.7181e-05,7.1315e-05,8.3939e-05,7.7003e-05,7.1315e-05
1,32768,7.7624e-05,7.1767e-05,8.3366e-05,7.7044e-05,7.8835e-05
1,32768,7.6565e-05,7.2771e-05,8.1144e-05,7.6684e-05,7.8293e-05
1,32768,7.5931e-05,7.2089e-05,8.1194e-05,7.554e-05,7.8443e-05
1,32768,7.6557e-05,7.1205e-05,8.0398e-05,7.6672e-05,7.2983e-05
1,32768,7.7105e-05,7.2833e-05,8.2506e-05,7.6754e-05,8.0315e-05
1,32768,7.6585e-05,7.1504e-05,8.12e-05,7.6256e-05,7.2528e-05
1,32768,7.6382e-05,7.2751e-05,7.971e-05,7.6955e-05,7.8629e-05
1,32768,8.581e-05,7.4684e-05,0.000120154,8.0251e-05,8.1688e-05
1,32768,8.9017e-05,7.5554e-05,0.000117131,8.6916e-05,8.594e-05
1,32768,8.4245e-05,7.3571e-05,0.000138639,7.557e-05,7.4562e-05
1,32768,9.0055e-05,7.3429e-05,0.000183104,7.7436e-05,8.1068e-05
1,32768,9.1114e-05,7.2809e-05,0.00015401,7.7545e-05,8.285e-05
1,32768,7.9764e-05,7.2457e-05,0.000105197,7.6314e-05,8.1538e-05
1,32768,8.2692e-05,7.4119e-05,0.000121317,7.8459e-05,7.8999e-05
1,32768,7.9352e-05,7.1958e-05,0.000103355,7.7203e-05,7.6541e-05
1,32768,8.1133e-05,7.4672e-05,0.000100011,8.014e-05,7.9402e-05
1,32768,7.6404e-05,7.2951e-05,8.2031e-05,7.5833e-05,7.4914e-05
1,32768,7.9923e-05,7.2534e-05,0.000102511,7.5855e-05,7.5352e-05
1,32768,7.7844e-05,7.2251e-05,8.3352e-05,7.7588e-05,7.812e-05
1,32768,7.6129e-05,7.2669e-05,8.1393e-05,7.5821e-05,7.3574e-05
1,32768,7.7899e-05,7.1918e-05,8.3045e-05,7.8076e-05,7.7168e-05
1,32768,7.734e-05,7.1697e-05,8.3249e-05,7.7283e-05,7.5307e-05
1,32768,7.7214e-05,7.2356e-05,8.0659e-05,7.7839e-05,7.3043e-05
1,32768,7.9364e-05,7.4454e-05,8.6393e-05,7.8515e-05,7.8848e-05
1,32768,7.5524e-05,7.1372e-05,8.0703e-05,7.5788e-05,7.9562e-05
1,32768,7.6037e-05,7.0711e-05,8.1085e-05,7.6137e-05,7.734e-05
1,32768,7.7005e-05,7.3045e-05,8.3175e-05,7.6658e-05,8.3175e-05
1,32768,7.6012e-05,7.1943e-05,7.9404e-05,7.5889e-05,7.5651e-05
1,32768,7.5588e-05,7.1569e-05,8.2443e-05,7.5459e-05,7.9083e-05
1,32768,7.6442e-05,7.2362e-05,8.0881e-05,7.6136e-05,7.8039e-05
1,32768,7.714e-05,7.1281e-05,8.2115e-05,7.6952e-05,7.6847e-05
1,32768,7.5297e-05,7.1869e-05,7.9632e-05,7.5208e-05,7.2454e-05
1,32768,7.7848e-05,7.35e-05,8.4664e-05,7.7553e-05,7.9583e-05
