run_id,msg_size,4_Avg-Duration_s,4_Min-Duration_s,4_Max-Duration_s,4_Median-Duration_s,4_MainRank-Duration_s
1,32768,1.588e-05,1.5172e-05,1.666e-05,1.5843e-05,1.5854e-05
1,32768,1.7553e-05,1.5155e-05,2.198e-05,1.6538e-05,1.6356e-05
1,32768,1.5938e-05,1.4505e-05,1.7789e-05,1.573e-05,1.4505e-05
1,32768,1.6147e-05,1.5042e-05,1.7904e-05,1.5821e-05,1.5101e-05
1,32768,1.5946e-05,1.4941e-05,1.7441e-05,1.5702e-05,1.5359e-05
1,32768,1.5613e-05,1.4278e-05,1.6463e-05,1.5856e-05,1.6463e-05
1,32768,1.573e-05,1.4931e-05,1.6701e-05,1.5644e-05,1.6252e-05
1,32768,1.6039e-05,1.5332e-05,1.7057e-05,1.5883e-05,1.6319e-05
1,32768,1.5853e-05,1.4624e-05,1.7104e-05,1.5842e-05,1.6448e-05
1,32768,1.6134e-05,1.5052e-05,1.7511e-05,1.5986e-05,1.5545e-05
1,32768,1.5842e-05,1.4758e-05,1.6768e-05,1.5922e-05,1.5774e-05
1,32768,1.6025e-05,1.4801e-05,1.7173e-05,1.6063e-05,1.629e-05
1,32768,1.5613e-05,1.4722e-05,1.7265e-05,1.5232e-05,1.5447e-05
1,32768,1.5928e-05,1.4742e-05,1.7277e-05,1.5846e-05,1.6169e-05
1,32768,1.6646e-05,1.4646e-05,1.8668e-05,1.6634e-05,1.6204e-05
1,32768,1.58e-05,1.4737e-05,1.769e-05,1.5387e-05,1.5245e-05
1,32768,1.522e-05,1.3637e-05,1.6382e-05,1.543e-05,1.3637e-05
1,32768,1.4454e-05,1.2918e-05,1.5663e-05,1.4617e-05,1.4178e-05
1,32768,1.429e-05,1.3212e-05,1.5961e-05,1.3994e-05,1.3212e-05
1,32768,1.4238e-05,1.273e-05,1.49e-05,1.4662e-05,1.4556e-05
1,32768,1.43e-05,1.3478e-05,1.602e-05,1.3851e-05,1.3793e-05
1,32768,1.4397e-05,1.313e-05,1.5231e-05,1.4613e-05,1.5231e-05
1,32768,1.4412e-05,1.369e-05,1.5419e-05,1.4269e-05,1.4474e-05
1,32768,1.4172e-05,1.3159e-05,1.4967e-05,1.4281e-05,1.4387e-05
1,32768,1.417e-05,1.3448e-05,1.5379e-05,1.3927e-05,1.4271e-05
1,32768,1.402e-05,1.2995e-05,1.4778e-05,1.4153e-05,1.4596e-05
1,32768,1.3788e-05,1.286e-05,1.5073e-05,1.3608e-05,1.3983e-05
1,32768,1.4273e-05,1.2991e-05,1.5318e-05,1.4392e-05,1.4548e-05
1,32768,1.454e-05,1.3545e-05,1.6243e-05,1.4185e-05,1.4639e-05
1,32768,1.4304e-05,1.2931e-05,1.5891e-05,1.4197e-05,1.4092e-05
1,32768,1.4394e-05,1.2939e-05,1.5757e-05,1.444e-05,1.4575e-05
1,32768,1.4142e-05,1.3148e-05,1.5617e-05,1.3901e-05,1.3982e-05
1,32768,1.4294e-05,1.2924e-05,1.5855e-05,1.4199e-05,1.4543e-05
1,32768,1.4333e-05,1.2855e-05,1.6471e-05,1.4004e-05,1.3928e-05
1,32768,1.4258e-05,1.2758e-05,1.5722e-05,1.4277e-05,1.4076e-05
1,32768,1.4081e-05,1.2793e-05,1.5325e-05,1.4102e-05,1.3956e-05
1,32768,1.4096e-05,1.2866e-05,1.5375e-05,1.4071e-05,1.4196e-05
1,32768,1.4163e-05,1.2415e-05,1.6039e-05,1.4099e-05,1.4175e-05
1,32768,1.4285e-05,1.231e-05,1.69e-05,1.3965e-05,1.3552e-05
1,32768,1.4422e-05,1.3106e-05,1.6873e-05,1.3855e-05,1.3106e-05
1,32768,1.4194e-05,1.2596e-05,1.5897e-05,1.4142e-05,1.4071e-05
1,32768,1.4238e-05,1.2772e-05,1.6291e-05,1.3944e-05,1.3787e-05
1,32768,1.4296e-05,1.3611e-05,1.5921e-05,1.3826e-05,1.3803e-05
1,32768,1.462e-05,1.352e-05,1.5425e-05,1.4767e-05,1.5425e-05
1,32768,1.436e-05,1.3296e-05,1.5748e-05,1.4198e-05,1.4642e-05
1,32768,1.4386e-05,1.3093e-05,1.5493e-05,1.4478e-05,1.4981e-05
1,32768,1.4659e-05,1.3463e-05,1.6737e-05,1.4217e-05,1.4354e-05
1,32768,1.4653e-05,1.3379e-05,1.6846e-05,1.4194e-05,1.3924e-05
1,32768,1.4715e-05,1.3521e-05,1.6384e-05,1.4477e-05,1.4458e-05
1,32768,1.3987e-05,1.2564e-05,1.5299e-05,1.4042e-05,1.4246e-05
1,32768,1.4154e-05,1.2864e-05,1.5503e-05,1.4125e-05,1.4219e-05
1,32768,1.4276e-05,1.2779e-05,1.5658e-05,1.4334e-05,1.462e-05
1,32768,1.4392e-05,1.3197e-05,1.626e-05,1.4055e-05,1.4059e-05
1,32768,1.4341e-05,1.3012e-05,1.579e-05,1.428e-05,1.4213e-05
1,32768,1.4983e-05,1.4646e-05,1.5772e-05,1.4758e-05,1.4646e-05
1,32768,1.4492e-05,1.3131e-05,1.5769e-05,1.4534e-05,1.5769e-05
1,32768,1.4679e-05,1.3476e-05,1.6776e-05,1.4231e-05,1.6776e-05
1,32768,1.447e-05,1.2672e-05,1.527e-05,1.4968e-05,1.527e-05
1,32768,1.4668e-05,1.4025e-05,1.6018e-05,1.4315e-05,1.6018e-05
1,32768,1.4393e-05,1.2285e-05,1.5638e-05,1.4825e-05,1.5638e-05
1,32768,1.4369e-05,1.3566e-05,1.5841e-05,1.4035e-05,1.5841e-05
1,32768,1.4405e-05,1.2436e-05,1.5396e-05,1.4893e-05,1.5125e-05
1,32768,1.4301e-05,1.3495e-05,1.5526e-05,1.4093e-05,1.5526e-05
1,32768,1.4332e-05,1.2435e-05,1.5361e-05,1.4766e-05,1.5031e-05
1,32768,1.4357e-05,1.3452e-05,1.5556e-05,1.4209e-05,1.5556e-05
1,32768,1.4221e-05,1.2516e-05,1.5162e-05,1.4603e-05,1.5162e-05
1,32768,1.4231e-05,1.3595e-05,1.5434e-05,1.3948e-05,1.5434e-05
1,32768,1.406e-05,1.2534e-05,1.4732e-05,1.4487e-05,1.4732e-05
1,32768,1.4077e-05,1.3549e-05,1.5462e-05,1.3648e-05,1.5462e-05
1,32768,1.4147e-05,1.2093e-05,1.4962e-05,1.4767e-05,1.4835e-05
1,32768,1.4463e-05,1.1859e-05,1.651e-05,1.4742e-05,1.5184e-05
1,32768,1.4963e-05,1.3261e-05,1.8251e-05,1.4169e-05,1.3629e-05
1,32768,1.4535e-05,1.347e-05,1.6685e-05,1.3992e-05,1.3702e-05
1,32768,1.45e-05,1.3693e-05,1.5398e-05,1.4454e-05,1.4822e-05
1,32768,1.4622e-05,1.3967e-05,1.5527e-05,1.4496e-05,1.4876e-05
1,32768,1.4298e-05,1.3116e-05,1.5135e-05,1.4471e-05,1.5088e-05
1,32768,1.4342e-05,1.3285e-05,1.6271e-05,1.3905e-05,1.4195e-05
1,32768,1.4225e-05,1.2794e-05,1.5802e-05,1.4152e-05,1.4226e-05
1,32768,1.4318e-05,1.298e-05,1.5957e-05,1.4168e-05,1.3946e-05
1,32768,1.428e-05,1.3029e-05,1.5454e-05,1.4318e-05,1.4414e-05
1,32768,1.4336e-05,1.3356e-05,1.5765e-05,1.4111e-05,1.4326e-05
1,32768,1.4352e-05,1.2616e-05,1.5651e-05,1.457e-05,1.4806e-05
1,32768,1.4314e-05,1.3077e-05,1.606e-05,1.406e-05,1.3925e-05
1,32768,1.4297e-05,1.2799e-05,1.5433e-05,1.4478e-05,1.4736e-05
1,32768,1.4228e-05,1.3119e-05,1.5991e-05,1.3902e-05,1.4131e-05
1,32768,1.4423e-05,1.3072e-05,1.5508e-05,1.4555e-05,1.5101e-05
1,32768,1.4399e-05,1.3374e-05,1.6092e-05,1.4065e-05,1.4041e-05
1,32768,1.44e-05,1.3028e-05,1.5507e-05,1.4532e-05,1.4787e-05
1,32768,1.4458e-05,1.3495e-05,1.6131e-05,1.4103e-05,1.4228e-05
1,32768,1.4524e-05,1.3197e-05,1.5954e-05,1.4472e-05,1.4621e-05
1,32768,1.4609e-05,1.3101e-05,1.6093e-05,1.4621e-05,1.4689e-05
1,32768,1.4897e-05,1.3592e-05,1.6902e-05,1.4547e-05,1.4264e-05
