run_id,msg_size,1_Avg-Duration_s,1_Min-Duration_s,1_Max-Duration_s,1_Median-Duration_s,1_MainRank-Duration_s
1,64,4.655e-06,3.185e-06,5.638e-06,4.898e-06,3.185e-06
1,64,4.579e-06,3.889e-06,5.612e-06,4.408e-06,3.923e-06
1,64,4.51e-06,3.436e-06,5.626e-06,4.488e-06,3.436e-06
1,64,4.609e-06,3.575e-06,5.478e-06,4.693e-06,4.137e-06
1,64,4.516e-06,3.328e-06,5.695e-06,4.52e-06,3.328e-06
1,64,4.568e-06,3.316e-06,5.496e-06,4.73e-06,4.204e-06
1,64,4.652e-06,3.708e-06,6.062e-06,4.418e-06,3.708e-06
1,64,4.528e-06,3.243e-06,5.651e-06,4.61e-06,4.097e-06
1,64,4.635e-06,3.831e-06,6.076e-06,4.316e-06,3.983e-06
1,64,4.597e-06,3.516e-06,5.665e-06,4.604e-06,4.355e-06
1,64,4.577e-06,3.491e-06,5.939e-06,4.439e-06,4.338e-06
1,64,4.68e-06,3.502e-06,6.298e-06,4.46e-06,4.629e-06
1,64,4.528e-06,3.278e-06,5.965e-06,4.434e-06,4.716e-06
1,64,4.651e-06,3.521e-06,6.206e-06,4.438e-06,5.035e-06
1,64,4.545e-06,3.44e-06,5.995e-06,4.372e-06,4.944e-06
1,64,4.495e-06,3.286e-06,5.874e-06,4.409e-06,5.138e-06
1,64,4.632e-06,3.518e-06,6.127e-06,4.441e-06,5.314e-06
1,64,4.745e-06,3.474e-06,6.162e-06,4.673e-06,5.636e-06
1,64,4.655e-06,3.517e-06,6.071e-06,4.516e-06,5.468e-06
1,64,4.587e-06,3.545e-06,5.846e-06,4.479e-06,5.378e-06
1,64,4.545e-06,3.478e-06,5.737e-06,4.483e-06,5.372e-06
1,64,5.091e-06,3.724e-06,6.707e-06,4.967e-06,6.707e-06
1,64,4.69e-06,3.418e-06,6.255e-06,4.544e-06,4.705e-06
1,64,4.532e-06,3.374e-06,5.374e-06,4.69e-06,5.374e-06
1,64,4.689e-06,3.384e-06,6.321e-06,4.526e-06,4.512e-06
1,64,4.554e-06,3.207e-06,5.478e-06,4.766e-06,5.478e-06
1,64,4.694e-06,3.402e-06,6.299e-06,4.537e-06,4.226e-06
1,64,4.603e-06,3.199e-06,5.542e-06,4.835e-06,5.542e-06
1,64,4.598e-06,3.561e-06,6.215e-06,4.308e-06,4.153e-06
1,64,4.581e-06,3.531e-06,5.333e-06,4.731e-06,5.333e-06
1,64,4.512e-06,3.569e-06,5.728e-06,4.376e-06,4.362e-06
1,64,4.544e-06,3.453e-06,4.946e-06,4.888e-06,4.935e-06
1,64,4.648e-06,3.946e-06,5.923e-06,4.361e-06,4.394e-06
